label,x,y,plot_type,plot_num
LRE,0.0,6897.935818909794,path,0
LRE,20.0,6897.935818909794,path,0
LRE,21.83415653766065,6910.634235782496,path,0
LRE,23.83651958555347,6949.910774862069,path,0
LRE,26.0225149971994,7017.795118353645,path,0
LRE,28.40898329762368,7116.719457211115,path,0
LRE,31.01430941980512,7249.570757773601,path,0
LRE,33.858564338973416,7418.827946773025,path,0
LRE,36.96365969588002,7626.405305918182,path,0
LRE,40.353516600233114,7874.690082789566,path,0
LRE,44.054249914728835,8166.641545495781,path,0
LRE,48.09436943937064,8505.682994129149,path,0
LRE,52.50499954596506,8894.996929767669,path,0
LRE,57.32011895482014,9337.999337586318,path,0
LRE,62.57682250084362,9838.611371615121,path,0
LRE,68.31560690564118,10401.261290481707,path,0
LRE,74.58068275715303,11030.625455765228,path,0
LRE,81.4203151002644,11731.41260329677,path,0
LRE,88.88719526224142,12508.659428225961,path,0
LRE,97.03884677746939,13369.154551632964,path,0
LRE,105.93806853866657,14322.26502288259,path,0
LRE,115.65341858853346,15379.10639755023,path,0
LRE,126.25974227888159,16555.001743490364,path,0
LRE,137.8387488660896,17868.968879429798,path,0
LRE,150.47964098487472,19342.795152367995,path,0
LRE,164.27980184973646,21000.424329418158,path,0
LRE,179.3455454781509,22868.274979111633,path,0
LRE,195.79293571510425,24963.630089678212,path,0
LRE,213.74868036858578,27296.065919975037,path,0
LRE,233.35110734430472,29849.869193308572,path,0
LRE,254.75123029960002,32546.49621566842,path,0
LRE,278.11391202615533,35253.05479020204,path,0
LRE,303.6191345240128,37693.35691967877,path,0
LRE,331.4633855513172,39487.660150405485,path,0
LRE,361.86117233152123,40177.46357903284,path,0
LRE,395.04667407939144,39291.255250422924,path,0
LRE,431.2755460765821,36556.03307771833,path,0
LRE,470.8268891950585,32113.67154150805,path,0
LRE,514.0054000412357,26472.04881753355,path,0
LRE,561.1437182851613,20424.315205197505,path,0
LRE,612.6049892581578,14847.828462174155,path,0
LRE,668.785661560727,10253.057630032967,path,0
LRE,730.1185412329926,6821.025418513033,path,0
LRE,797.07612601648,4497.532703029217,path,0
LRE,870.1742453937976,3030.034209323015,path,0
LRE,949.9760344484456,2150.1919113967833,path,0
LRE,1037.096272158673,1643.9605106977745,path,0
LRE,1132.206117546839,1360.0142489206455,path,0
LRE,1236.0382801707344,1219.375267455368,path,0
LRE,1349.3926647894336,1186.7987438189575,path,0
LRE,1473.1425336891773,1255.9330026291257,path,0
LRE,1608.2412341427755,1447.3786566016179,path,0
LRE,1755.7295428296961,1801.0374807228204,path,0
LRE,1916.7436837969472,2349.289824543179,path,0
LRE,2092.5240817297436,3110.4582675862393,path,0
LRE,2284.4249179655917,4047.499175654878,path,0
LRE,2493.9245628696667,5034.258238320826,path,0
LRE,2722.6369649406606,5927.9088048844205,path,0
LRE,2972.324084386781,6576.0764140760175,path,0
LRE,3244.9094669579927,6843.420843377108,path,0
LRE,3542.493062604891,6737.270489694091,path,0
LRE,3867.3674031246037,6405.361786553382,path,0
LRE,4222.035263423439,6006.321306872855,path,0
LRE,4609.22894245553,5673.289480114384,path,0
LRE,5031.931312374506,5508.018911555285,path,0
LRE,5493.398798057058,5532.103973627368,path,0
LRE,5997.186464028735,5722.702441365071,path,0
LRE,6547.175402057149,6068.492144982547,path,0
LRE,7147.602630401849,6565.7161049569995,path,0
LRE,7803.09373505945,7214.393300657008,path,0
LRE,8518.69850446636,8024.460234640156,path,0
LRE,9299.929832182708,9014.56647148285,path,0
LRE,10152.806187256872,10204.96792615775,path,0
LRE,11083.897979454798,11615.58282194365,path,0
LRE,12100.378176543833,13263.486854444884,path,0
LRE,13210.07756357754,15159.551911581368,path,0
LRE,14421.545069889544,17303.37014578605,path,0
LRE,15744.11362854483,19676.787026235317,path,0
LRE,17187.97207561821,22239.023356534744,path,0
LRE,18764.24364319939,24921.499031520125,path,0
LRE,20485.071650820966,27624.118145126842,path,0
LRE,22363.713055460976,30214.636934774062,path,0
LRE,24414.640580813004,32532.685827414207,path,0
LRE,26653.654212609672,34401.109415914805,path,0
LRE,29098.00291893986,35743.75008360314,path,0
LRE,31766.517533271977,36684.83218306668,path,0
LRE,34679.755823890104,37403.09973005972,path,0
LRE,37860.16086733327,38101.24542550442,path,0
LRE,41332.23394591843,38999.3301508295,path,0
LRE,45122.72330131973,40340.14028626215,path,0
LRE,49260.83019832808,42408.78425273859,path,0
LRE,53778.433886270825,45570.97118672176,path,0
LRE,58710.33719115358,50294.68158379788,path,0
LRE,64094.53463052436,56780.41559233732,path,0
LRE,69972.50511656904,64977.60281371996,path,0
LRE,76389.53150237139,74685.73267087393,path,0
LRE,83395.04943306683,85435.95481633516,path,0
LRE,91043.02818937648,96381.35068300225,path,0
LRE,99392.38645747489,106246.55729929393,path,0
LRE,108507.44622820847,113403.50581266484,path,0
LRE,118458.4283224248,116130.97685849475,path,0
