label,x,y,plot_type,plot_num
LRE,0.0,11714.6952128459,path,0
LRE,20.0,11714.6952128459,path,0
LRE,21.913217150601827,11720.339846323044,path,0
LRE,24.009454294471507,11740.999663353909,path,0
LRE,26.30621928111018,11782.337617474164,path,0
LRE,28.822694775915807,11850.187530630776,path,0
LRE,31.579898474508028,11949.97458549186,path,0
LRE,34.60085864329269,12084.991573976147,path,0
LRE,37.91080645238754,12258.36171986752,path,0
LRE,41.537386707280255,12473.671971209546,path,0
LRE,45.510888739257695,12734.80497590619,path,0
LRE,49.86449938301166,13045.417422345607,path,0
LRE,54.63458015429927,13409.640868050818,path,0
LRE,59.8609709426561,13832.337797205295,path,0
LRE,65.5873227556144,14319.37242751849,path,0
LRE,71.86146229351941,14878.098836767296,path,0
LRE,78.73579139988381,15517.211661660866,path,0
LRE,86.26772472350707,16246.898618040354,path,0
LRE,94.52016924772762,17079.521142262594,path,0
LRE,103.56204969185461,18030.76780135326,path,0
LRE,113.46888417295148,19119.4492658967,path,0
LRE,124.32341493591849,20368.00260649568,path,0
LRE,136.21629941975797,21802.72893649845,path,0
LRE,149.2468674318277,23453.708647605363,path,0
LRE,163.5239507540362,25356.840859192933,path,0
LRE,179.16679210987573,27555.350370685508,path,0
LRE,196.306041084022,30095.20541882304,path,0
LRE,215.0848453124569,33015.96194586614,path,0
LRE,235.6600460567737,36359.195082769525,path,0
LRE,258.2034881481455,40169.32630839344,path,0
LRE,282.90345524165787,44482.17164344882,path,0
LRE,309.9662423683008,49312.493514831585,path,0
LRE,339.6178789186326,54669.99982432075,path,0
LRE,372.10601644853966,60582.58213318736,path,0
LRE,407.70199707411325,67076.60649335751,path,0
LRE,446.7031197309537,74157.59450347639,path,0
LRE,489.43512322578397,81793.43044756794,path,0
LRE,536.2549068189084,89803.26707268623,path,0
LRE,587.5535110599244,97843.47019616456,path,0
LRE,643.7593837727331,105179.34781012971,path,0
LRE,705.3419584674759,110728.7096600864,path,0
LRE,772.8155750664287,113002.46047563652,path,0
LRE,846.7437756898938,110446.60551818914,path,0
LRE,927.7440113806564,102120.96127098317,path,0
LRE,1016.4927990777373,88255.17912479771,path,0
LRE,1113.7313719106764,70870.50785942374,path,0
LRE,1220.2718700058167,52842.032737203124,path,0
LRE,1337.0041235104222,36816.99303765073,path,0
LRE,1464.9030844866973,24421.75915275029,path,0
LRE,1605.0369697471704,15746.932036862969,path,0
LRE,1758.576182640684,10155.93299125657,path,0
LRE,1926.8030883040863,6769.359545035269,path,0
LRE,2111.1227240228836,4817.337639092225,path,0
LRE,2313.0745341541747,3733.355667613684,path,0
LRE,2534.345227622382,3149.814280144229,path,0
LRE,2776.7828653740335,2887.0332735703723,path,0
LRE,3042.4122954505774,2868.382659411147,path,0
LRE,3333.452064593473,3055.408478451821,path,0
LRE,3652.3329476279387,3400.844673539162,path,0
LRE,4001.7182493834334,3849.7558786784084,path,0
LRE,4384.526048713268,4345.527364613784,path,0
LRE,4803.953570396207,4873.991046179677,path,0
LRE,5263.503888475053,5424.620007707386,path,0
LRE,5767.015184059546,5987.126575209475,path,0
LRE,6318.692801955739,6574.78931992746,path,0
LRE,6923.14437386004,7217.761464812005,path,0
LRE,7585.418301468119,7958.368047548021,path,0
LRE,8311.045920911009,8842.227141702168,path,0
LRE,9106.087700677323,9878.632598922683,path,0
LRE,9977.183858868331,11060.351976190155,path,0
LRE,10931.609822543074,12368.511505776607,path,0
LRE,11977.336992351915,13770.63190935443,path,0
LRE,13123.099319967181,15263.710100153394,path,0
LRE,14378.4662543678,16890.587976206978,path,0
LRE,15753.922666228105,18713.704997998095,path,0
LRE,17260.956417942227,20818.86620779645,path,0
LRE,18912.154310672115,23323.224137399666,path,0
LRE,20721.307209772443,26357.239726346976,path,0
LRE,22703.52522660374,29932.630202172822,path,0
LRE,24875.36391873671,33975.95195269292,path,0
LRE,27254.96256257616,38337.895764753484,path,0
LRE,29862.19565326273,42772.327223584114,path,0
LRE,32718.838897185207,46927.08136874153,path,0
LRE,35848.751083478855,50356.82587768757,path,0
LRE,39278.07335350722,52575.81297913222,path,0
LRE,43035.44753263356,53455.91486186888,path,0
LRE,47152.255347796585,53395.3484563982,path,0
LRE,51662.88052884464,52887.06870157951,path,0
LRE,56604.99598270858,52429.35389693554,path,0
LRE,62019.87843890185,52507.214171601685,path,0
LRE,67952.75319427921,53619.58328029474,path,0
LRE,74453.17183637463,56354.47428051514,path,0
LRE,81575.42610007747,61527.24490317169,path,0
LRE,89379.00131419355,70005.98566381482,path,0
LRE,97929.07322509248,82020.57638871651,path,0
LRE,107297.05234693192,97545.15755130221,path,0
LRE,117561.18038489053,116080.47780237066,path,0
LRE,128807.1837127589,136256.91567271523,path,0
LRE,141128.98936275745,155517.45294564415,path,0
LRE,154629.50950755394,170136.01211748275,path,0
LRE,169421.50098650414,175867.34856381625,path,0
ENA,0.0,1723.396186418513,path,1
ENA,20.0,1723.396186418513,path,1
ENA,22.05192141118091,1743.4941081919037,path,1
ENA,24.31436189624497,1796.5632374727447,path,1
ENA,26.808919884950285,1872.1883675763859,path,1
ENA,29.55940972107844,1959.323947025077,path,1
ENA,32.592089006505965,2047.114846166132,path,1
ENA,35.935909269884135,2125.862759342771,path,1
ENA,39.62279235294066,2189.6683004515185,path,1
ENA,43.687935152929356,2236.7305065211317,path,1
ENA,48.17014563045829,2270.249311114562,path,1
ENA,53.11221329040034,2296.1621908521347,path,1
ENA,58.56131767268931,2321.688264764805,path,1
ENA,64.56947875266721,2353.456978842913,path,1
ENA,71.19405355073671,2396.0385172813867,path,1
ENA,78.49828369221255,2451.9810497152116,path,1
ENA,86.55189914466274,2521.5030709291896,path,1
ENA,95.43178389632804,2603.482119963912,path,1
ENA,105.22270993053127,2695.856615630984,path,1
ENA,116.01814650297801,2796.8839112713995,path,1
ENA,127.92115244772732,2905.2286860681425,path,1
ENA,141.04536003024876,3020.890562280611,path,1
ENA,155.51605973993807,3144.600296531226,path,1
ENA,171.47139637808166,3277.9937325251403,path,1
ENA,189.06368785974533,3422.8625208551643,path,1
ENA,208.4608793195572,3581.0087423116493,path,1
ENA,229.84814640302724,3753.89846910456,path,1
ENA,253.42966304925812,3942.7442923811586,path,1
ENA,279.4305506412149,4148.593697882158,path,1
ENA,308.099027131154,4372.512443314297,path,1
ENA,339.70877665787526,4615.805619927355,path,1
ENA,374.56156227739376,4880.001024526395,path,1
ENA,412.9901067495115,5166.917719883931,path,1
ENA,455.3612688817723,5478.460060794499,path,1
ENA,502.07954575382325,5816.559381664967,path,1
ENA,553.5909342562359,6183.020636557636,path,1
ENA,610.3871888080367,6579.51551146146,path,1
ENA,673.0105158993239,7007.468696394316,path,1
ENA,742.0587502755106,7468.01436808646,path,1
ENA,818.191062177734,7961.72532143888,path,1
ENA,902.1342501237015,8488.232006926597,path,1
ENA,994.6896793031246,9045.56577612091,path,1
ENA,1096.7409318252621,9628.897694005644,path,1
ENA,1209.2622418518004,10229.570406763854,path,1
ENA,1333.3277961412177,10832.524300516925,path,1
ENA,1470.1219887924592,11415.869955597967,path,1
ENA,1620.9507280850141,11947.756071425787,path,1
ENA,1787.2539033563612,12388.863314595375,path,1
ENA,1970.6191309320407,12693.36162281354,path,1
ENA,2172.7969103341484,12818.441177573668,path,1
ENA,2395.717335457269,12732.716190748424,path,1
ENA,2641.508520245371,12436.83928781414,path,1
ENA,2912.5169147707848,11966.825031037202,path,1
ENA,3211.329705663024,11416.419121547724,path,1
ENA,3540.799514733586,10899.444260543383,path,1
ENA,3904.071631582626,10532.9440268075,path,1
ENA,4304.614040164049,10424.343751231803,path,1
ENA,4746.250525958177,10682.013206930858,path,1
ENA,5233.197179810287,11442.04093939748,path,1
ENA,5770.102646919507,12906.032167820073,path,1
ENA,6362.092505215794,15356.591468607745,path,1
ENA,7014.818196784094,19195.53131416646,path,1
ENA,7734.5109794602295,24819.264778267046,path,1
ENA,8528.041413648642,32402.020875405356,path,1
ENA,9402.984952253808,41112.10261461739,path,1
ENA,10367.69425988088,48286.955513785964,path,1
ENA,11431.378951702229,49218.653646935374,path,1
ENA,12604.193513218268,42155.90813843685,path,1
ENA,13897.33424024027,32660.22077041772,path,1
ENA,15323.146124534598,24935.500289962492,path,1
ENA,16895.24070551393,19959.642002605073,path,1
ENA,18628.626013048888,17364.389382495472,path,1
ENA,20539.84984190174,16625.87407368442,path,1
ENA,22647.157725553687,17344.5087195897,path,1
ENA,24970.66711752642,19277.023172531713,path,1
ENA,27532.559443022623,22290.928473152802,path,1
ENA,30357.29185431008,26370.77606092536,path,1
ENA,33471.83071137641,31516.49443886162,path,1
ENA,36905.90901678124,37702.918887382184,path,1
ENA,40692.31026231263,44871.454852978146,path,1
ENA,44867.181397195425,52908.02419126592,path,1
ENA,49470.37790560762,61552.3897181608,path,1
ENA,54545.844287793974,70397.86329402625,path,1
ENA,60142.03357704719,79073.1849951972,path,1
ENA,66312.36989748245,87214.88202298044,path,1
ENA,73115.75847842207,94417.33791154435,path,1
ENA,80617.14799425246,100235.13049389985,path,1
ENA,88888.15059813978,104141.63423272972,path,1
ENA,98007.72556876957,105778.27040647392,path,1
ENA,108062.93309655471,105198.10995596838,path,1
ENA,119149.76540534623,102885.31673930994,path,1
ENA,131374.06314396684,99812.06259516613,path,1
ENA,144852.52579591385,97181.05630782248,path,1
ENA,159713.82575312737,96329.71985764166,path,1
ENA,176099.8366893503,98672.53121536487,path,1
ENA,194166.98795976746,105764.51067436962,path,1
ENA,214087.75795672525,119194.03436534747,path,1
ENA,236052.320677881,140163.6294513447,path,1
ENA,260270.36122577553,168115.91924668505,path,1
ENA,286973.0775705237,196905.5494666133,path,1
ENA,316415.387685495,210710.5691957089,path,1
