label,x,y,plot_type,plot_num
ENA,0.0,1279544.2209046683,path,0
ENA,10.0,1279544.2209046683,path,0
ENA,11.393849409505037,1276793.2404514633,path,0
ENA,12.98198043664783,1268546.0365347555,path,0
ENA,14.791473013230584,1254879.1269681563,path,0
ENA,16.8531816057507,1236071.291650547,path,0
ENA,19.202261328696377,1212532.5257897133,path,0
ENA,21.878767390112863,1184773.1122277658,path,0
ENA,24.92833809085355,1153391.5870909793,path,0
ENA,28.402973023641337,1119017.04607353,path,0
ENA,32.36191974136034,1082320.8915769544,path,0
ENA,36.872684013554796,1043954.521483637,path,0
ENA,42.012180897470714,1004553.4265799093,path,0
ENA,47.86804625106655,964704.8451823454,path,0
ENA,54.54013105118744,924929.2084545827,path,0
ENA,62.142203997189945,885679.5711446472,path,0
ENA,70.80389143187242,847328.4296543683,path,0
ENA,80.67288765816983,810165.8939055199,path,0
ENA,91.91747334071046,774420.071668017,path,0
ENA,104.72938493462478,740244.3883046625,path,0
ENA,119.32708406952005,707750.7820710941,path,0
ENA,135.9594826363459,677011.9357955758,path,0
ENA,154.910187095274,648073.5889074755,path,0
ENA,176.50233437618024,620975.4504707146,path,0
ENA,201.10410183083022,595751.6360502427,path,0
ENA,229.13498518942458,572427.4468311542,path,0
ENA,261.0729515697471,551027.495835153,path,0
ENA,297.46258950807,531551.7042013664,path,0
ENA,338.9243949816363,513928.4934445234,path,0
ENA,386.16535176283685,498054.34308261465,path,0
ENA,439.99098651543045,483621.9897299296,path,0
ENA,501.3191041896373,470221.55430700147,path,0
ENA,571.1954379244694,457178.7867145954,path,0
ENA,650.8114803107687,443515.0379600502,path,0
ENA,741.524800063795,428116.7534471245,path,0
ENA,844.8821905340213,409455.1763730409,path,0
ENA,962.6460447717382,386191.3509204999,path,0
ENA,1096.8244068784823,357067.6529599002,path,0
ENA,1249.705212064311,321539.158455866,path,0
ENA,1423.8952992534316,280158.25659101846,path,0
ENA,1622.364861459571,234633.81794948003,path,0
ENA,1848.4980918742858,187860.47586380757,path,0
ENA,2106.150889257302,143294.66811796554,path,0
ENA,2399.716606589282,103930.51089856985,path,0
ENA,2734.200964096672,71899.90945723292,path,0
ENA,3115.307404024097,47687.415803548036,path,0
ENA,3549.5343425766596,30698.639104105503,path,0
ENA,4044.2859773184923,19496.725784061087,path,0
ENA,4607.998539453981,12518.03547314954,path,0
ENA,5250.284143775782,8398.3548086577,path,0
ENA,5982.094689129335,6143.613434783666,path,0
ENA,6815.90860413395,5218.392339227621,path,0
ENA,7765.943622445191,5471.360852682401,path,0
ENA,8848.399215684654,7360.247469001079,path,0
ENA,10081.732817869344,13038.259107978049,path,0
ENA,11486.974551366819,29107.75925217679,path,0
ENA,13088.085820909024,74719.73498210775,path,0
ENA,14912.367890211553,197723.81742141122,path,0
ENA,16990.927408020878,472420.55117018084,path,0
ENA,19359.206821482145,907109.0923589688,path,0
ENA,22057.588721143024,1314384.1881790531,path,0
ENA,25132.084422550037,1362993.2367974606,path,0
ENA,28635.11852575025,958433.8208364107,path,0
ENA,32626.422830572632,440467.85085200355,path,0
ENA,37174.054850238164,176748.7946778353,path,0
ENA,42355.5582904294,88649.38433443577,path,0
ENA,48259.28528166652,55902.49037487193,path,0
ENA,54985.902910965124,43144.8746644733,path,0
ENA,62650.10974132013,39671.29231607333,path,0
ENA,71382.59158815662,42303.764950121345,path,0
ENA,81332.24990156575,50926.4829658147,path,0
ENA,92668.74075146712,67371.58979885887,path,0
ENA,105585.3677090678,95342.1212253127,path,0
ENA,120302.37795243344,140311.11758766562,path,0
ENA,137070.71779953854,205830.5116600777,path,0
ENA,156176.3117060704,286084.72445222817,path,0
ENA,177944.93769108847,358058.97341226845,path,0
ENA,202747.78232360192,385022.78278391174,path,0
ENA,231007.7699906228,362900.94742232683,path,0
ENA,263206.7743698733,323662.2810923731,path,0
ENA,299893.8350731906,294080.3635118527,path,0
ENA,341694.51956628746,282331.3103933462,path,0
ENA,389321.5899991452,291207.0709140086,path,0
ENA,443587.1568319323,322224.2993248112,path,0
ENA,505416.52649335295,375615.50598709885,path,0
ENA,575863.9791940377,443953.5410528252,path,0
ENA,656130.7459295207,510396.10669844196,path,0
ENA,747585.491206717,555380.7215254586,path,0
ENA,851787.6507540187,570745.5899915791,path,0
ENA,970514.0221567359,563906.9497523268,path,0
ENA,1105789.0618266882,548519.5662100976,path,0
ENA,1259919.4049131118,533089.5778471263,path,0
ENA,1435533.1967693197,518940.9494177342,path,0
ENA,1635624.9066334993,504582.3336162414,path,0
ENA,1863606.3876617826,489176.73319434584,path,0
ENA,2123365.053961002,472561.6490411168,path,0
ENA,2419330.1666237195,454340.9946343183,path,0
ENA,2756548.359038339,434261.8712779112,path,0
ENA,3140769.689290106,414700.85208223615,path,0
ENA,3578545.6869709394,399933.04369201354,path,0
ENA,4077341.0662380634,394086.5162649429,path,0
LRE,0.0,74659.53579877422,path,1
LRE,10.0,74659.53579877422,path,1
LRE,11.169130714054816,74532.18916032696,path,1
LRE,12.47494809076426,74155.76561507137,path,1
LRE,13.933432587679459,73540.4250661719,path,1
LRE,15.56243298672629,72697.54375532699,path,1
LRE,17.381884825746422,71639.36862355782,path,1
LRE,19.41405436754077,70379.7906684103,path,1
LRE,21.683811092082962,68934.20637325941,path,1
