"Name","Wild","Ethnographic_wild","Ethnographic","Landrace","Archaeological","Cueva","GreenBluff","USDA_mex","Lentz_mex","Mex_cult","argophyllus","petiolaris_petiolaris","petiolaris_fallax","niveus_canescens"
"ARG0251",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ann1238_subset",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anzac_Pueblo",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ari_Man",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ari_broad",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arikara",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Arikara_126306",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arikara_14042_874",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Coahuila",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CuevadelGallo",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GreenBluff",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Guanajuato_29096",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Havasupai",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hidatsa",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hopi_dye_NEW",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hopi_mapping_NEW",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hopi_real_NEW",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IA1W-1",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA1W-11R",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA1W-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA1W-5",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA2W-11",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA2W-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA2W-38",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA2W-7",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS1W-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS1W-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS1W-32",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS1W-35",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS2W-15",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS2W-24",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS2W-32",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS2W-35",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laguna_Pueblo",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MB1W-16",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MB1W-16B",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MB1W-39",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MB1W-40",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MB1W-8",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO1W-3",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO1W-33",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO1W-38",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mandan1_PPN046",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mandan2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MexCult1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult14",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult15",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult3",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult6",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult7",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MexCult9",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ND1W-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ND1W-38",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ND1W-6",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuevo_Leon",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PET0316",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PET0337",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PET0372",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PET0428",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PET0461",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PET0473N",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PET0485",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PET0550",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PET0580",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PET0636",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PET0654",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PET0669",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PET0680",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PET0712",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PET0732",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Paiute",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SD1W-13",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD1W-15",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD1W-35",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD1W-4",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD2W-18",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD2W-23",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD2W-23R",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD2W-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF_03",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_05",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_06",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_07",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_11_a",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_11c",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_17",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_19",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_21",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_22",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_23",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_25",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_28",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_30",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_41",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_45",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SF_49",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SK1W-22R",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK1W-29R",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK1W-37",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK1W-Q",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"San_Ildefonso_Pueblo",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"San_Luis_Potosi",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Se_Purp",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Se_Strip_682a",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Se_Strip_682b",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Seneca",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Seneca_137749",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sonora_28388",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zuni",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ann01_cwIA",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann04_nwAR",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann05_ccNM",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann10_ccIL",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann20_seAZ",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann28_swSK",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann29_neSD",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann34_cwKS",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ann39_ncNE",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"annMex_A1516",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"annMex_A1517",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"annMex_A1572",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"annMex_A1574",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"annMex_Ann261",0,0,0,0,0,0,0,1,0,0,0,0,0,0
