sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
ANN1095,0.092274692,-0.004648998,-0.045525875,0.018238641,0.09996925,-0.004171003,-0.026798893,Wild,CO_UT_NM
ANN1106,0.062763143,-0.005753289,-0.044269178,0.023236504,0.103398274,-0.005044113,-0.014413401,Wild,CO_UT_NM
ANN1115,0.059827239,-0.009300047,-0.034179123,0.017503094,0.103898095,-0.008452846,-0.032209181,Wild,CO_UT_NM
ANN1127,0.089912395,-0.003912293,-0.044245058,0.016254813,0.117769365,-0.003412203,-0.029834735,Wild,CO_UT_NM
ANN1134,0.099696603,-0.003727914,-0.045424679,0.020115762,0.114772291,-0.000326311,-0.037735138,Wild,CO_UT_NM
ANN1143,0.078452853,0.002136657,-0.03192617,0.007177721,0.122479061,-0.003592678,-0.022829043,Wild,CO_UT_NM
ANN1151,0.02336816,-0.047818073,-0.007173069,0.108146815,0.069888111,0.013991982,0.23631924,Wild,WY
ANN1152,0.031278272,-0.04738376,-0.012163187,0.114238033,0.085804369,0.014790639,0.272089274,Wild,WY
ANN1153,0.013225805,-0.041913428,-0.011796018,0.104469131,0.080479018,0.014433935,0.265875424,Wild,WY
ANN1154,0.02578442,-0.042720331,-0.003523403,0.106756555,0.077648803,0.015882114,0.271395972,Wild,WY
ANN1155,0.015098478,-0.044631503,-0.009238472,0.100314871,0.067153198,0.012675093,0.222710641,Wild,WY
ANN1156,0.006161583,-0.037961408,-0.009294345,0.090823922,0.069173038,0.009277128,0.22476469,Wild,WY
ANN1157,-0.005583743,-0.039443808,-0.013349562,0.090139064,0.066614968,0.0107112,0.213032339,Wild,WY
ANN1159,4.83E-06,-0.039682712,-0.01433617,0.100714885,0.078751399,0.012089197,0.269488558,Wild,WY
ANN1160,0.031750591,-0.048204731,-0.011497515,0.112460812,0.082902421,0.015191882,0.287902239,Wild,WY
ANN1162,0.02565958,-0.034186351,-0.004236226,0.057140996,0.034580147,-0.003492733,0.04516252,Wild,CO_UT_NM
ANN1164,0.014067193,-0.033277687,-0.004687581,0.053897287,0.04142594,-0.001964352,0.040350745,Wild,CO_UT_NM
ANN1169,0.051284318,-0.039257564,-0.001033751,0.066726969,0.037130783,-0.002050324,0.046683137,Wild,CO_UT_NM
