"","rowSums(table_SNP_characterized)"
"SF_65c_endo",485
"SF_65d",658
"SF_65g_coat",20
"SF_65g_endo",1348
"SF_65h_coat",9
"SF_65h_endo",245
"SF_65i",1022
"SF_65j_coat",16
"SF_65j_endo",1563
"SF_65k_coat",22
"SF_65k_endo",706
"SF_65l",59
"SF_65m",472
"SF_66a",1733
"SK1W_22R",2984
"SK1W_29R",2993
"SK1W_37",2993
"SK1W_Q",2993
"San_Ildefonso_Pueblo_13597_747",2965
"San_Luis_Potosi_28315",2992
"Se_Purp",2994
"Se_Strip_682a",2993
"Se_Strip_682b",2993
"Seneca",2993
"Seneca_137749",2993
"Sonora_28388",2992
"Zuni",2994
"ann01_cwIA",2993
"ann04_nwAR",2992
"ann05_ccNM",2993
"ann10_ccIL",2993
"ann20_seAZ",2993
"ann28_swSK",2993
"ann29_neSD",2993
"ann34_cwKS",2993
"ann39_ncNE",2993
"annMex_A1516",2993
"annMex_A1572",2993
"annMex_Ann261",2993
