label,x,y,plot_type,plot_num
LRE,0.0,46512.042200101954,path,0
LRE,1.0,46512.042200101954,path,0
LRE,1.1405649451218571,46591.033333512234,path,0
LRE,1.3008883940408222,46829.80343504751,path,0
LRE,1.4837476997588315,47231.03527969739,path,0
LRE,1.69231061375011,47788.07886109948,path,0
LRE,1.9301901623010307,48489.48410359917,path,0
LRE,2.201507236539619,49319.20365095097,path,0
LRE,2.5109619804291823,50255.86204825924,path,0
LRE,2.8639152134112744,51274.94793104354,path,0
LRE,3.266481298218082,52346.856652337716,path,0
LRE,3.7256340626436724,53439.220150774985,path,0
LRE,4.249327610203298,54517.40306049118,path,0
LRE,4.846634112536311,55544.58432645828,path,0
LRE,5.527900970590694,56485.16309728363,path,0
LRE,6.3049300671608295,57303.76052254621,path,0
LRE,7.191182216048431,57968.21410855771,path,0
LRE,8.202010349608546,58450.28511121631,path,0
LRE,9.354925484290167,58725.75158250191,path,0
LRE,10.669900071608465,58777.43992864648,path,0
LRE,12.16971398962981,58592.62932336171,path,0
LRE,13.880349168730792,58166.829279979655,path,0
LRE,15.831439687905654,57500.43063570815,path,0
LRE,18.056785138836066,56601.44518296855,path,0
LRE,20.594936150953725,55482.8972144822,path,0
LRE,23.48986222080064,54163.581446600234,path,0
LRE,26.79171341478747,52666.88791817785,path,0
LRE,30.55768914065753,51019.48472192853,path,0
LRE,34.85302903776483,49251.797327981156,path,0
LRE,39.75214315178866,47394.731263550086,path,0
LRE,45.339900972396045,45481.38486052867,path,0
LRE,51.71310166441123,43543.07018402956,path,0
LRE,58.98215096195022,41610.41598111477,path,0
LRE,67.2729737750857,39711.03956957473,path,0
LRE,76.72919564196476,37867.93215958913,path,0
LRE,87.5146308166216,36099.74760066398,path,0
LRE,99.81612009471962,34417.49566393461,path,0
LRE,113.84676753811047,32823.6001776336,path,0
LRE,129.84963216940568,31313.54881203404,path,0
LRE,148.10193858939138,29866.69798622274,path,0
LRE,168.91987945964968,28458.796039809622,path,0
LRE,192.66409304588586,27046.102703794906,path,0
LRE,219.74591071183298,25583.47364479935,path,0
LRE,250.63448259179407,24019.39457252704,path,0
LRE,285.86490488295436,22306.602076059637,path,0
LRE,326.0474895500914,20421.18314244868,path,0
LRE,371.878337025819,18365.471001382495,path,0
LRE,424.1513950618603,16183.093900902863,path,0
LRE,483.7722126320894,13971.009256344143,path,0
LRE,551.7736271521978,11833.898749930051,path,0
LRE,629.333656772534,9913.587030311845,path,0
LRE,717.7959077001022,8305.199249083927,path,0
LRE,818.69285007466,7093.422061267625,path,0
LRE,933.7723656170605,6335.98893872326,path,0
LRE,1065.0280269463283,6075.934900697867,path,0
LRE,1214.7336331072775,6426.879820839266,path,0
LRE,1385.4825995826748,7628.564604067041,path,0
LRE,1580.2328851602997,10050.496803568589,path,0
LRE,1802.3582339426098,14344.226868013242,path,0
LRE,2055.7066201866783,20594.51992979128,path,0
LRE,2344.6669084398545,27105.154413805467,path,0
LRE,2674.2448837537345,30731.50623423679,path,0
LRE,3050.1499690809824,32021.365598367494,path,0
LRE,3478.8941320982817,33041.109064998585,path,0
LRE,3967.9046948614236,35214.995716507314,path,0
LRE,4525.653000543375,38921.73713377686,path,0
LRE,5161.801166205318,43475.91044287083,path,0
LRE,5887.3694638629,47332.92106047378,path,0
LRE,6714.927229462879,48678.616426662724,path,0
LRE,7658.810606969586,46142.62933327859,path,0
LRE,8735.370899636955,39722.71562398721,path,0
LRE,9963.257830763483,31269.36021176282,path,0
LRE,11363.742620979654,23463.19062661366,path,0
LRE,12961.086478876567,17849.610886468137,path,0
LRE,14782.960888499469,14633.320404760574,path,0
LRE,16860.926974529957,13318.969923842473,path,0
LRE,19230.98224940836,13616.163533149873,path,0
LRE,21934.18421393586,15380.938357501554,path,0
LRE,25017.361614260408,18704.03011615852,path,0
LRE,28533.92567666258,23675.103222386733,path,0
LRE,32544.795373513738,30349.100719830843,path,0
LRE,37119.45274919377,38832.99582544164,path,0
LRE,42337.14658783749,48967.83757266791,path,0
LRE,48288.26527457288,60514.40552895764,path,0
LRE,55075.902632922785,73420.51020608116,path,0
LRE,62817.64386405633,87640.19784874134,path,0
LRE,71647.60252649164,103038.27911542129,path,0
LRE,81718.74384374057,118743.53178212412,path,0
LRE,93205.53458756287,133198.48603100283,path,0
LRE,106306.96544191703,144419.88004940638,path,0
LRE,121249.998205331,150298.08240059196,path,0
LRE,138293.49754908864,149640.9461397884,path,0
LRE,157732.71544278564,145634.76731121197,path,0
LRE,179904.40593292235,143009.00001519694,path,0
LRE,205192.65888006345,146259.7548679409,path,0
LRE,234035.55371494754,160815.892429063,path,0
LRE,266932.7484794521,193924.68550807275,path,0
LRE,304454.13562069274,246980.9730831812,path,0
LRE,347249.71448633715,314348.9123733064,path,0
LRE,396060.85154668975,378327.94649483426,path,0
LRE,451733.12340926484,407401.67841402686,path,0
