label,x,y,plot_type,plot_num
LRE,0.0,99425.44430849218,path,0
LRE,0.6000000000000001,99425.44430849218,path,0
LRE,0.6783471961015991,99422.86003017108,path,0
LRE,0.7669248640981675,99416.75922382699,path,0
LRE,0.8670688853026531,99409.61978701167,path,0
LRE,0.9802895786199898,99403.62361498618,path,0
LRE,1.1082944783741457,99399.62822709464,path,0
LRE,1.25301408643331,99398.12041362986,path,0
LRE,1.4166309870130696,99399.49076390015,path,0
LRE,1.6016127632515942,99403.64626324722,path,0
LRE,1.8107492119870872,99410.34250971416,path,0
LRE,2.047194417991032,99419.31096035228,path,0
LRE,2.3145143221984363,99430.14654003743,path,0
LRE,2.616740501333835,99442.39628933373,path,0
LRE,2.958430970008833,99455.65426696192,path,0
LRE,3.34473892227604,99469.81360314862,path,0
LRE,3.78149044936306,99484.88426889655,path,0
LRE,4.275272405684008,99500.87099047299,path,0
LRE,4.833531748277138,99517.73893770047,path,0
LRE,5.464687847853094,99535.4360659987,path,0
LRE,6.178259465269381,99553.83870575279,path,0
LRE,6.985008308422743,99572.24585155881,path,0
LRE,7.897101334608227,99589.67695354798,path,0
LRE,8.928294246102812,99604.99734172905,path,0
LRE,10.094138946356463,99615.68415891004,path,0
LRE,11.412218085534748,99618.46975047515,path,0
LRE,12.902410232704092,99609.88329399805,path,0
LRE,14.58718967384567,99584.4038392665,path,0
LRE,16.491965357092333,99535.30273477283,path,0
LRE,18.64546409698047,99455.6994998446,path,0
LRE,21.080163816999555,99336.81595095086,path,0
LRE,23.832783364373363,99168.68007060055,path,0
LRE,26.944836284199152,98941.4782031831,path,0
LRE,30.463256904671873,98646.24092732262,path,0
LRE,34.441108175678075,98274.71544336028,path,0
LRE,38.938381936005094,97819.30917698103,path,0
LRE,44.02290367837031,97278.37236556404,path,0
LRE,49.771355457455456,96654.99503536122,path,0
LRE,56.27043236790149,95953.19150622704,path,0
LRE,63.61815003365108,95188.78315159645,path,0
LRE,71.9253228274967,94387.55838397914,path,0
LRE,81.31723511455786,93574.97476541014,path,0
LRE,91.9355307244913,92777.20383062371,path,0
LRE,103.9403491484517,92021.0379188509,path,0
LRE,117.51274067778907,91332.24729087159,path,0
LRE,132.85739690832077,90729.75788124675,path,0
LRE,150.20573779019443,90233.07514244302,path,0
LRE,169.81940178058383,89934.20281022455,path,0
LRE,191.9941917358499,89970.69163375218,path,0
LRE,217.06453605301078,90495.70986277242,path,0
LRE,245.4085323410903,91566.96760340326,path,0
LRE,277.453649688312,93085.0991425357,path,0
LRE,313.68317552370263,94653.89430790291,path,0
LRE,354.64350430124904,95495.16678692952,path,0
LRE,400.9523779306624,94268.33747916663,path,0
LRE,453.3082022325559,89341.245052268,path,0
LRE,512.5005799238511,79395.59814274649,path,0
LRE,579.4222189863125,64590.381392392715,path,0
LRE,655.0823960138864,47218.39357239681,path,0
LRE,740.6221775858945,30893.176737471415,path,0
LRE,837.3316292267535,18417.96071248103,path,0
LRE,946.6692714885858,10455.042700014203,path,0
LRE,1070.2840765830429,6001.889763059266,path,0
LRE,1210.040337303826,3765.184684405134,path,0
LRE,1368.0457832998059,2760.7758119200093,path,0
LRE,1546.683368733397,2385.963448159409,path,0
LRE,1748.6472107287907,2404.206467439267,path,0
LRE,1976.9832206145957,2788.485016655374,path,0
LRE,2235.135040739698,3562.723910791447,path,0
LRE,2526.9959796570124,4682.894620348066,path,0
LRE,2856.9677289339106,5963.466359323333,path,0
LRE,3230.026747125119,7199.081689269432,path,0
LRE,3651.799312075819,8157.274964120012,path,0
LRE,4128.6463734539675,8784.93056619981,path,0
LRE,4667.759485212552,9248.071102322237,path,0
LRE,5277.269264784292,9786.961146048812,path,0
LRE,5966.3680147326195,10569.577771548447,path,0
LRE,6745.4483561735615,11639.466569156604,path,0
LRE,7626.259964764112,13046.958409865938,path,0
LRE,8622.086773066025,14861.564179206933,path,0
LRE,9747.947311756705,17179.369945033777,path,0
LRE,11020.821211127135,20126.592533437703,path,0
LRE,12459.905278841845,23866.373480760194,path,0
LRE,14086.903015989797,28562.73527008609,path,0
LRE,15926.351937753065,34156.626963646304,path,0
LRE,18005.993635170063,40328.90436074764,path,0
LRE,20357.19215906809,46454.58029859309,path,0
LRE,23015.407036008826,51584.08534279573,path,0
LRE,26020.728050022673,54702.04001357807,path,0
LRE,29418.47985542513,55946.66140154238,path,0
LRE,33259.90553916502,56219.04376532392,path,0
LRE,37602.93944182772,56546.47413839631,path,0
LRE,42513.080892570026,57998.20777379093,path,0
LRE,48064.38203519224,61799.47045572977,path,0
LRE,54340.564643214544,69579.3764936975,path,0
LRE,61436.282767170465,82239.08508722596,path,0
LRE,69458.55025669165,99615.37485092372,path,0
LRE,78528.35468651465,120667.14915287177,path,0
LRE,88782.48202678181,142636.44822339565,path,0
LRE,100375.57957634656,160551.72419578338,path,0
LRE,113482.48827114611,167921.62779632257,path,0
ENA,0.0,31421.73978382957,path,1
ENA,0.6000000000000001,31421.73978382957,path,1
ENA,0.6793077950852134,31357.251309423536,path,1
ENA,0.7690984674392239,31167.180653605046,path,1
ENA,0.8707576401992599,30857.350084331138,path,1
ENA,0.9858540876956038,30433.820166361944,path,1
ENA,1.116163944313742,29903.652660712825,path,1
ENA,1.2636981132756386,29275.05004903656,path,1
ENA,1.4307332983043626,28557.36150160438,path,1
ENA,1.619847137043552,27761.18997218558,path,1
ENA,1.8339579784002518,26898.102215975225,path,1
ENA,2.0763699176433503,25980.660332324285,path,1
ENA,2.350823784225951,25021.898931588585,path,1
ENA,2.6615548691606805,24035.19658396843,path,1
ENA,3.013358282779756,23033.743109605995,path,1
ENA,3.4116629514614685,22030.307989191846,path,1
ENA,3.8626153952186693,21036.798008809394,path,1
ENA,4.373174578980319,20064.039396661105,path,1
ENA,4.951219301283045,19121.489608865002,path,1
ENA,5.605669777563227,18217.158610116847,path,1
ENA,6.346625294287157,17357.44135373338,path,1
ENA,7.185520058157088,16547.257654377212,path,1
ENA,8.13529964541211,15789.948533994817,path,1
ENA,9.210620774137354,15087.645557931344,path,1
ENA,10.428077482408845,14441.247873760476,path,1
ENA,11.806457202588193,13850.889497899814,path,1
ENA,13.36703068343019,13315.951669531427,path,1
ENA,15.133880233995594,12835.495701922171,path,1
ENA,17.134271354732068,12408.309581275023,path,1
ENA,19.39907349062462,12033.190937022295,path,1
ENA,21.96323639935371,11708.968197628747,path,1
ENA,24.866329485633784,11434.652136108007,path,1
