ANN0810,ANN0810,CA
ANN0820,ANN0820,CA
ANN0830,ANN0830,CA
ANN0835,ANN0835,CA
ANN0849,ANN0849,CA
ANN0854,ANN0854,CA
ANN0867,ANN0867,CA
ANN0874,ANN0874,CA
ANN0880,ANN0880,CA
ANN0882,ANN0882,CA
ANN0898,ANN0898,CA
ANN0908,ANN0908,AZ
ANN0918,ANN0918,AZ
ANN0927,ANN0927,AZ
ANN0931,ANN0931,AZ
ANN0946,ANN0946,AZ
ANN0956,ANN0956,NM
ANN0957,ANN0957,NM
ANN0959,ANN0959,NM
ANN0962,ANN0962,NM
ANN0963,ANN0963,NM
ANN0964,ANN0964,NM
ANN0972,ANN0972,NM
ANN0975,ANN0975,NM
ANN0978,ANN0978,NM
ANN0981,ANN0981,NM
ANN0985,ANN0985,NM
ANN0986,ANN0986,NM
ANN0992,ANN0992,CO
ANN0996,ANN0996,CO
ANN0997,ANN0997,CO
ANN1002,ANN1002,CO
ANN1003,ANN1003,CO
ANN1004,ANN1004,CO
ANN1011,ANN1011,CO
ANN1012,ANN1012,CO
ANN1019,ANN1019,CO
ANN1029,ANN1029,NV
ANN1040,ANN1040,NV
ANN1046,ANN1046,NV
ANN1053,ANN1053,UT
ANN1062,ANN1062,UT
ANN1073,ANN1073,UT
ANN1083,ANN1083,UT
ANN1095,ANN1095,UT
ANN1106,ANN1106,UT
ANN1115,ANN1115,UT
ANN1127,ANN1127,UT
ANN1134,ANN1134,UT
ANN1143,ANN1143,UT
ANN1151,ANN1151,WY
ANN1152,ANN1152,WY
ANN1153,ANN1153,WY
ANN1154,ANN1154,WY
ANN1155,ANN1155,WY
ANN1156,ANN1156,WY
ANN1157,ANN1157,WY
ANN1159,ANN1159,WY
ANN1160,ANN1160,WY
ANN1162,ANN1162,CO
ANN1164,ANN1164,CO
ANN1169,ANN1169,CO
ANN1171,ANN1171,KS
ANN1172,ANN1172,KS
ANN1173,ANN1173,KS
ANN1174,ANN1174,KS
ANN1175,ANN1175,KS
ANN1176,ANN1176,KS
ANN1177,ANN1177,KS
ANN1178,ANN1178,KS
ANN1179,ANN1179,KS
ANN1180,ANN1180,KS
ANN1181,ANN1181,KS
ANN1182,ANN1182,KS
ANN1183,ANN1183,KS
ANN1184,ANN1184,KS
ANN1185,ANN1185,KS
ANN1186,ANN1186,KS
ANN1187,ANN1187,KS
ANN1188,ANN1188,KS
ANN1189,ANN1189,KS
ANN1190,ANN1190,KS
ANN1191,ANN1191,KS
ANN1192,ANN1192,KS
ANN1193,ANN1193,KS
ANN1194,ANN1194,KS
ANN1195,ANN1195,KS
ANN1196,ANN1196,KS
ANN1197,ANN1197,KS
ANN1198,ANN1198,KS
ANN1199,ANN1199,KS
ANN1200,ANN1200,KS
ANN1201,ANN1201,OK
ANN1202,ANN1202,OK
ANN1203,ANN1203,OK
ANN1204,ANN1204,OK
ANN1205,ANN1205,OK
ANN1206,ANN1206,OK
ANN1207,ANN1207,OK
ANN1208,ANN1208,OK
ANN1209,ANN1209,OK
ANN1210,ANN1210,OK
ANN1216,ANN1216,TX
ANN1218,ANN1218,TX
ANN1219,ANN1219,TX
ANN1260,ANN1260,CA
