sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
ANN1073,0.066329155,-0.05123825,-0.040938916,0.02925475,-0.012439387,0.036426488,-0.013443551,Wild,UT,CO_UT_NM
ANN1083,0.08639144,-0.020159359,-0.039730366,0.079633423,-0.031482055,0.072340875,-0.068920354,Wild,UT,CO_UT_NM
ANN1095,0.092489572,-0.024525609,-0.046477156,0.094698015,-0.022229917,0.085680038,-0.082163326,Wild,UT,CO_UT_NM
ANN1106,0.061629783,-0.023362269,-0.043843832,0.096405893,-0.009001602,0.065386085,-0.059523291,Wild,UT,CO_UT_NM
ANN1115,0.058072012,-0.01354456,-0.032917611,0.104275725,-0.031818018,0.070632907,-0.058223623,Wild,UT,CO_UT_NM
ANN1127,0.089838566,-0.024615801,-0.039565474,0.115555887,-0.025618249,0.087992863,-0.088030826,Wild,UT,CO_UT_NM
ANN1134,0.099599286,-0.023622425,-0.044198503,0.11138645,-0.030631192,0.095102274,-0.102682258,Wild,UT,CO_UT_NM
ANN1143,0.07785937,-0.025135534,-0.023466928,0.122780869,-0.012249044,0.062768586,-0.061865019,Wild,UT,CO_UT_NM
ANN1151,0.02268971,0.062849332,-0.099149319,0.060260638,0.232466325,0.049058597,0.026511616,Wild,WY,WY
ANN1152,0.030639297,0.061740665,-0.102851879,0.07388088,0.263603051,0.051224766,0.03598062,Wild,WY,WY
ANN1153,0.011837378,0.054704365,-0.095088521,0.068489828,0.255763817,0.044049222,0.038519656,Wild,WY,WY
ANN1154,0.024358917,0.063485193,-0.092039951,0.067361634,0.267548293,0.047382111,0.03345354,Wild,WY,WY
ANN1155,0.014504745,0.05443948,-0.091212744,0.060352405,0.215944492,0.04059898,0.028858462,Wild,WY,WY
ANN1156,0.004873627,0.046929932,-0.080033365,0.062668557,0.219147967,0.036225489,0.035980155,Wild,WY,WY
ANN1157,-0.007230332,0.043833689,-0.084435495,0.062348495,0.207753384,0.033738188,0.034729772,Wild,WY,WY
ANN1159,-0.002875152,0.047905694,-0.092126842,0.070258983,0.26197885,0.036897401,0.045050063,Wild,WY,WY
ANN1160,0.030611738,0.058099187,-0.100838023,0.071889122,0.276231086,0.046669885,0.036509403,Wild,WY,WY
ANN1162,0.024200009,0.038269203,-0.052683568,0.032034967,0.045697238,0.021162821,-0.004380386,Wild,CO,CO_UT_NM
ANN1164,0.009949199,0.033793379,-0.050858538,0.037844248,0.036512589,0.015504564,-0.000166442,Wild,CO,CO_UT_NM
ANN1169,0.0505601,0.047348169,-0.06197948,0.037725989,0.046339651,0.03551273,-0.019033356,Wild,CO,CO_UT_NM
ANN1171,0.028052625,0.036223553,0.051337265,-0.024879738,-0.004449884,0.011144112,-0.003672368,Wild,KS,KS
ANN1172,0.039897137,0.042972889,0.056162057,-0.027335279,0.015110481,0.016306167,0.000933899,Wild,KS,KS
ANN1173,0.027770277,0.035525488,0.056418703,-0.026598557,-0.001100299,0.016615741,0.000294193,Wild,KS,KS
ANN1174,0.040803234,0.043138796,0.056865285,-0.022534277,0.007132282,0.01642919,-0.006206336,Wild,KS,KS
