sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
Mex_Ann261,-0.050296862,-0.111857172,-0.009732329,-0.011767022,0.002074264,-0.032593741,0.073285427,MexWild,MexWild,MexWild
MexCult1,-0.145549967,-0.077234228,0.014229675,0.039274455,0.015242781,0.017470034,-0.024236499,Landrace,Landrace,Landrace
MexCult15,-0.055723206,-0.025047824,0.002357695,0.010555627,0.0065546,-0.001359629,0.000841268,Landrace,Landrace,Landrace
MexCult3,-0.107879309,-0.05365465,0.010626151,0.026525682,0.007582395,0.008133401,-0.011264381,Landrace,Landrace,Landrace
MexCult6,-0.093317344,-0.04978862,0.006418824,0.021447195,0.00745236,0.003704711,-0.003931674,Landrace,Landrace,Landrace
MexCult9,-0.0769288,-0.036346151,0.005245542,0.016652593,0.005855794,0.003467045,-0.003750745,Landrace,Landrace,Landrace
MO1W_11,-0.0573644,-0.004415041,0.041261111,-0.012468492,-0.007196906,0.01237592,-0.000666387,Wild,MO,MO
MO1W_15,-0.064077563,-0.012235585,0.040601992,-0.007161147,-0.002816525,0.008949001,-0.003983262,Wild,MO,MO
MO1W_16,-0.013887047,0.01195563,0.058491344,-0.024732497,-0.019385205,0.023961261,-0.027271899,Wild,MO,MO
MO1W_2,-0.050942422,-0.003590055,0.047204897,-0.013110032,-0.006223734,0.011150376,-0.006057446,Wild,MO,MO
MO1W_2R,-0.060168637,0.016818427,-0.014927867,-0.006741745,-0.014781112,-0.007792289,0.004341914,Wild,MO,MO
MO1W_3,0.010404975,0.027240859,0.061672627,-0.036005673,-0.03916914,0.040727609,-0.048997641,Wild,MO,MO
MO1W_33,-0.025171862,0.016539078,0.052798758,-0.027329202,-0.021142852,0.020146161,-0.023261481,Wild,MO,MO
MO1W_38,0.035351196,0.053814418,0.029305395,-0.038681046,-0.053814038,0.043632063,-0.06714495,Wild,MO,MO
MO1W_39,-0.021224347,0.004892849,0.010683208,0.006638123,0.020088105,-0.003353509,0.017114082,Wild,MO,MO
MO1W_7,-0.043230618,0.003908641,0.04538552,-0.014740193,-0.014998446,0.016737935,-0.010728832,Wild,MO,MO
MO1W30_1_114,-0.072287782,-0.026772182,0.003498862,0.010156364,0.006917151,-0.004246153,0.009399451,Wild,MO,MO
ND1W_12,-0.019160819,0.057350703,-0.077255663,-0.003769753,-0.016354486,-0.023752817,0.009871203,Wild,ND,ND_SD
ND1W_20,-0.032745872,0.025722107,0.017083846,-0.021921569,-0.02740913,0.015379044,-0.021717538,Wild,ND,ND_SD
ND1W_22,-0.070088347,0.015887327,-0.051561683,0.005271883,-0.001227312,-0.024080912,0.019629484,Wild,ND,ND_SD
ND1W_25,-0.049307735,0.040302583,-0.066445737,-9.84E-05,-0.006595389,-0.030959461,0.020775433,Wild,ND,ND_SD
ND1W_27,-0.013239519,0.061243013,-0.081561536,-0.00888825,-0.011597181,-0.024958872,0.010236304,Wild,ND,ND_SD
ND1W_31,-0.034336885,0.051601043,-0.070775665,-0.009346394,-0.004796831,-0.025170441,0.012782634,Wild,ND,ND_SD
ND1W_33,-0.035374542,0.0410981,-0.069066718,-0.004769854,-0.003631283,-0.023756794,0.013236245,Wild,ND,ND_SD
ND1W_36,-0.052320303,0.031690363,-0.060519168,0.001957736,-0.001709177,-0.021920821,0.016052713,Wild,ND,ND_SD
ND1W_38,0.014573252,0.086924737,-0.0916527,-0.020233511,-0.032616774,-0.021981528,-0.007976232,Wild,ND,ND_SD
ND1W27_2_288,-0.06275854,-0.021885783,-0.003471549,0.009850875,0.006179015,-0.005103653,0.00942662,Wild,ND,ND_SD
Paiute,-0.10064658,-0.064036083,0.014270693,0.019655473,0.003784099,0.010225379,-0.011306753,Ethnographic,Ethnographic,Ethnographic
San_Ildefonso_Pueblo,-0.065453715,-0.028339003,0.000437739,0.014089805,0.006401597,-0.004917829,0.009708603,ethnoWild,ethnoWild,ethnoWild
SD1W_13,0.053806135,0.043081027,0.042755275,-0.019898575,-0.000971144,0.027367905,-0.016191701,Wild,SD,ND_SD
SD1W_14,-0.043991293,0.022214788,0.015180498,-0.018617702,-0.023490469,0.009378101,-0.012382777,Wild,SD,ND_SD
SD1W_15,-0.050026965,0.02906344,-0.038506022,-0.001873198,-0.0208852,-0.003800012,-0.01561174,Wild,SD,ND_SD
SD1W_20,-0.007317293,0.065792305,-0.055681615,-0.015356606,-0.023472562,-0.02122363,0.001415258,Wild,SD,ND_SD
SD1W_21,-0.033904856,0.049217594,-0.053393756,-0.013099193,-0.014416841,-0.022198489,0.012240008,Wild,SD,ND_SD
SD1W_35,-0.010196117,0.025969911,0.013642976,0.002828908,0.012650341,0.001927884,0.024459172,Wild,SD,ND_SD
SD1W_4,0.003032828,0.072724746,-0.058151305,-0.028130677,-0.026083582,-0.017150158,0.000511251,Wild,SD,ND_SD
SD1W_6,-0.028848951,0.054112647,-0.050396278,-0.013485429,-0.022024702,-0.020597824,0.009134053,Wild,SD,ND_SD
SD1W11_7_237,-0.041319269,-0.014747117,-0.000302305,0.006315521,0.0037747,-0.003331392,0.005880829,Wild,SD,ND_SD
SD2W_14,-0.023657725,0.044792398,-0.018697317,-0.02357371,-0.028873206,-0.011242082,0.004747476,Wild,SD,ND_SD
SD2W_15,-0.017927289,0.050681479,-0.019301441,-0.02384022,-0.034486927,-0.005452917,-0.007266421,Wild,SD,ND_SD
SD2W_18,-0.011262183,0.062736246,-0.02462106,-0.028568735,-0.04686431,-0.001981583,-0.006283795,Wild,SD,ND_SD
SD2W_19,-0.03772779,0.03638821,-0.018121119,-0.016050343,-0.023636376,-0.009808959,0.006320852,Wild,SD,ND_SD
SD2W_21,-0.024811969,0.043718505,-0.01535962,-0.020938963,-0.025745984,-0.007866733,0.001132926,Wild,SD,ND_SD
SD2W_23,0.009950871,0.072602124,-0.011465409,-0.036745798,-0.056577381,0.001531669,-0.025744566,Wild,SD,ND_SD
SD2W_23R,-0.038810661,0.024881783,0.014605127,-0.019354936,-0.026111442,0.010297177,-0.011833774,Wild,SD,ND_SD
SD2W_27,0.028308103,0.077798358,-0.022327827,-0.03702397,-0.050445432,0.005213476,-0.029780371,Wild,SD,ND_SD
SD2W_30,-0.040663342,0.019278517,0.010161229,-0.013173632,-0.018003733,0.00481117,-0.004099823,Wild,SD,ND_SD
SD2W_38,-0.087896027,-0.013400092,-0.035504134,0.018839389,0.007922328,-0.005278515,-0.00887188,Wild,SD,ND_SD
SD2W_40,-0.03865606,0.035363763,-0.014952276,-0.014097645,-0.023951038,-0.006646838,0.002315644,Wild,SD,ND_SD
SD2W_5,-0.05033681,0.02557593,-0.01377982,-0.010606758,-0.019189657,-0.012468565,0.012522311,Wild,SD,ND_SD
SD2W30_3_360,-0.061797848,-0.021525765,-0.000101414,0.008816381,0.005260729,-0.004759041,0.00832281,Wild,SD,ND_SD
Se_Purp,-0.120594671,-0.048866525,-0.010026017,0.034526608,0.008465701,0.011615576,-0.020827993,Ethnographic,Ethnographic,Ethnographic
Se_Strip_682a,-0.093029465,-0.014831062,-0.026686193,0.021871961,0.000534798,-0.002950377,-0.006961469,Ethnographic,Ethnographic,Ethnographic
Se_Strip_682b,-0.068486027,-0.027542114,0.000235981,0.012152481,0.007030163,-0.004220498,0.007125602,Ethnographic,Ethnographic,Ethnographic
Seneca,-0.140593324,-0.079507793,0.016383677,0.044295206,0.00842595,0.033157187,-0.052380527,Landrace,Landrace,Landrace
Seneca_137749,-0.139969294,-0.070889037,0.019419071,0.038498831,0.008892788,0.025403794,-0.03772415,Ethnographic,Ethnographic,Ethnographic
SK1W_1,-0.040229804,0.003895549,0.049971118,-0.018563407,-0.011598203,0.016864053,-0.017516764,Wild,SK,SK_MB
SK1W_15,-0.027404461,0.041177407,-0.015912346,-0.021097598,-0.025954923,-0.007123899,-0.000103283,Wild,SK,SK_MB
SK1W_22,-0.00762435,0.096382167,-0.131724133,-0.023826112,-0.056103301,-0.08461339,0.043188841,Wild,SK,SK_MB
SK1W_22R,0.002059824,0.09789389,-0.118295614,-0.021652412,-0.05475459,-0.064401068,0.018294044,Wild,SK,SK_MB
SK1W_25,-0.051527872,0.048611523,-0.086300669,-0.005997785,-0.028081564,-0.05893443,0.043871714,Wild,SK,SK_MB
SK1W_29,-0.024779487,0.073351465,-0.11231826,-0.017088388,-0.040303209,-0.068082549,0.041500746,Wild,SK,SK_MB
SK1W_29R,0.043557235,0.11651402,-0.13853139,-0.027426118,-0.070214868,-0.067846665,0.01799942,Wild,SK,SK_MB
SK1W_36,-0.027310459,0.071130745,-0.107883927,-0.010578021,-0.039096578,-0.067414236,0.040001748,Wild,SK,SK_MB
SK1W_37,-0.012480442,0.089425436,-0.118662768,-0.019857784,-0.048835823,-0.07295619,0.041119139,Wild,SK,SK_MB
SK1W_Q,-0.026768427,0.072824655,-0.108152142,-0.011691828,-0.038306156,-0.067501296,0.03879683,Wild,SK,SK_MB
SK1W15_3_300,-0.0467511,0.046264265,-0.094643167,-0.004513283,-0.03224847,-0.061536728,0.034541898,Wild,SK,SK_MB
Zuni,-0.170560955,-0.093108781,0.014048505,0.04819324,0.01852828,0.017926276,-0.028076793,Landrace,Landrace,Landrace
